Company,Category,Item,FreeStyle Points,SmartPoints,PointsPlus
mcdonalds,Sandwiches & Wraps,Grilled Chicken & Bacon Signature McWrap,12.0,14.0,13.0
mcdonalds,Sandwiches & Wraps,Crispy Chicken & Bacon Signature McWrap,16.0,18.0,16.0
mcdonalds,Sandwiches & Wraps,Chicken Big Mac,17.0,19.0,17.0
mcdonalds,Sandwiches & Wraps,Grilled Chicken BLT Sandwich,14.0,16.0,15.0
mcdonalds,Sandwiches & Wraps,Crispy Chicken BLT Sandwich,19.0,21.0,19.0
mcdonalds,Sandwiches & Wraps,Chicken Caesar McWrap Grilled,10.0,11.0,11.0
mcdonalds,Sandwiches & Wraps,Chicken Caesar McWrap Crispy,15.0,17.0,15.0
mcdonalds,Sandwiches & Wraps,"Grilled Chicken, Tomato & Mozzarella Sandwich",12.0,14.0,13.0
mcdonalds,Sandwiches & Wraps,"Crispy Chicken, Tomato & Mozzarella Sandwich",18.0,20.0,17.0
mcdonalds,Sandwiches & Wraps,Grilled Chipotle Chicken Snack Wrap,5.0,7.0,6.0
mcdonalds,Sandwiches & Wraps,Crispy Chipotle Chicken Snack Wrap,7.0,9.0,8.0
mcdonalds,Sandwiches & Wraps,Double Filet-O-Fish,15.0,17.0,15.0
mcdonalds,Sandwiches & Wraps,Filet-O-Fish,10.0,12.0,11.0
mcdonalds,Sandwiches & Wraps,Junior Chicken,10.0,12.0,10.0
mcdonalds,Sandwiches & Wraps,McChicken,13.0,15.0,13.0
mcdonalds,Sandwiches & Wraps,McCrispy,13.0,15.0,14.0
mcdonalds,Sandwiches & Wraps,McCrispy Bacon Deluxe,16.0,17.0,16.0
mcdonalds,Sandwiches & Wraps,Grilled Ranch Chicken Snack Wrap,5.0,7.0,6.0
mcdonalds,Sandwiches & Wraps,Crispy Ranch Chicken Snack Wrap,7.0,9.0,8.0
mcdonalds,Sandwiches & Wraps,Southern BBQ Sandwich with Grilled Chicken,13.0,15.0,13.0
mcdonalds,Sandwiches & Wraps,Southern BBQ Sandwich with Crispy Chicken,18.0,20.0,17.0
mcdonalds,Sandwiches & Wraps,Spicier Szechuan McChicken,14.0,15.0,13.0
mcdonalds,Sandwiches & Wraps,Spiciest Ghost Pepper McChicken,13.0,15.0,13.0
mcdonalds,Sandwiches & Wraps,Spicy Habanero McChicken,13.0,15.0,13.0
mcdonalds,Sandwiches & Wraps,Sweet Chili Signature McWrap with Grilled Chicken,10.0,12.0,11.0
mcdonalds,Sandwiches & Wraps,Sweet Chili Signature McWrap with Crispy Chicken,14.0,16.0,14.0
mcdonalds,Sides,Apple Slices,2.0,2.0,1.0
mcdonalds,Sides,Brownie RMHC Cookie,6.0,6.0,4.0
mcdonalds,Sides,Chewy Oatmeal Caramel RMHC Cookie,7.0,7.0,5.0
mcdonalds,Sides,Chocolate Chunk RMHC Cookie,7.0,7.0,4.0
mcdonalds,Sides,Mini French Fries,4.0,4.0,3.0
mcdonalds,Sides,Small French Fries,7.0,7.0,6.0
mcdonalds,Sides,Medium French Fries,11.0,11.0,9.0
mcdonalds,Sides,Large French Fries,17.0,17.0,15.0
mcdonalds,Sides,Poutine,17.0,17.0,14.0
mcdonalds,Sides,Spicy Buffalo Chicken Poutine,31.0,33.0,27.0
subway,Rice Bowls,Crispy Chicken Bacon & Peppercorn Ranch Rice Bowl,23.0,24.0,22.0
subway,Rice Bowls,Green Goddess Veggie Rice Bowl,23.0,23.0,19.0
subway,Rice Bowls,Southwest Steak & Avocado Rice Bowl,19.0,19.0,16.0
subway,Rice Bowls,Sweet Onion Chicken Teriyaki Rice Bowl,15.0,17.0,13.0
subway,Rice Wraps,Crispy Chicken Bacon & Peppercorn Ranch Rice Wrap,26.0,27.0,25.0
subway,Rice Wraps,Green Goddess Veggie Rice Wrap,24.0,24.0,20.0
subway,Rice Wraps,Southwest Steak & Avocado Rice Wrap,25.0,25.0,21.0
subway,Rice Wraps,Sweet Onion Chicken Teriyaki Rice Wrap,21.0,22.0,18.0
subway,Salads,Black Forest Ham Salad,3.0,3.0,3.0
subway,Salads,Cold Cut Combo Salad,8.0,8.0,6.0
subway,Salads,Italian BMT Salad,8.0,8.0,7.0
subway,Salads,Sweet Onion Chicken Teriyaki Salad,8.0,9.0,6.0
subway,Salads,Tuna Salad,8.0,9.0,7.0
subway,Salads,Turkey Breast Salad,3.0,3.0,3.0
subway,Salads,Veggie Delight Salad,2.0,2.0,1.0
subway,Subway Sandwiches,Kids Mini Sub Black Forest Ham,5.0,5.0,5.0
subway,Subway Sandwiches,"6"" Black Forest Ham",8.0,8.0,7.0
subway,Subway Sandwiches,Footlong Black Forest Ham,16.0,16.0,14.0
subway,Subway Sandwiches,"6"" Chicken & Bacon Ranch",14.0,16.0,14.0
subway,Subway Sandwiches,Footlong Chicken & Bacon Ranch,29.0,32.0,28.0
subway,Subway Sandwiches,"6"" Cold Cut Combo",14.0,14.0,11.0
subway,Subway Sandwiches,Footlong Cold Cut Combo,28.0,28.0,23.0
subway,Subway Sandwiches,"6"" Italian B.M.T.",13.0,13.0,11.0
subway,Subway Sandwiches,Footlong Italian B.M.T.,26.0,26.0,21.0
subway,Subway Sandwiches,"6"" Meatball Marinara",16.0,16.0,12.0
subway,Subway Sandwiches,Footlong Meatball Marinara,32.0,32.0,25.0
subway,Subway Sandwiches,"6"" Oven Roasted Chicken",7.0,9.0,8.0
subway,Subway Sandwiches,Footlong Oven Roasted Chicken,14.0,17.0,16.0
subway,Subway Sandwiches,Footlong Pizza Sub Melt,6.0,6.0,23.0
subway,Subway Sandwiches,"6"" Pizza Sub Melt",15.0,15.0,12.0
subway,Subway Sandwiches,Kids Mini Sub Roast Beef,6.0,6.0,5.0
subway,Subway Sandwiches,"6"" Roast Beef",8.0,8.0,7.0
subway,Subway Sandwiches,Footlong Roast Beef,17.0,17.0,15.0
subway,Subway Sandwiches,"6"" Steak & Cheese",11.0,11.0,10.0
subway,Subway Sandwiches,Footlong Steak & Cheese,22.0,22.0,20.0
subway,Subway Sandwiches,"6"" Subway Club",8.0,8.0,8.0
